row_id,date,customer_name,material_code,material_description,pick_qty,pick_uom,menu_type
229,2025-05-08,Sam5,601856,Palak Khichdi_Br Rice,39.0,KG,DINNER
230,2025-05-08,Sam5,602115,Rajma Raseela,44.2,KG,LUNCH
231,2025-05-08,Sam5,602119,Rajmah Masala,26.0,KG,DINNER
232,2025-05-08,Sam5,602399,Subzi Makhani - B Q T,23.8,KG,LUNCH
233,2025-05-08,Sam5,602602,Turai Ki Sabzi,44.2,KG,LUNCH
234,2025-05-08,THE24,600969,Gobi Mutter - Cost Food,15.0,KG,LUNCH
235,2025-05-08,THE24,601939,Paneer Makhani - Cost Food,16.6,KG,LUNCH
236,2025-05-08,THE24,602014,Pindi Choley,16.6,KG,LUNCH
237,2025-05-08,THE24,602094,Punjabi Kadi Pakodi,9.0,KG,LUNCH
238,2025-05-08,UBE12,600075,Aloo Mutter Dry,51.0,KG,BREAKFAST
239,2025-05-08,UBE12,600075,Aloo Mutter Dry,57.8,KG,LUNCH
240,2025-05-08,UBE12,600101,Aloo Posto - B Q T,39.75,KG,BREAKFAST
241,2025-05-08,UBE12,600101,Aloo Posto - B Q T,45.05,KG,LUNCH
242,2025-05-08,UBE12,601424,Lobia Masala,78.75,KG,BREAKFAST
243,2025-05-08,UBE12,601424,Lobia Masala,89.25,KG,LUNCH
244,2025-05-08,WES26,600770,Dal Panchmeal -Cf-L,0.0,KG,LUNCH
245,2025-05-08,WES26,601922,Paneer Do Pyaza - B Q T,0.0,KG,LUNCH
246,2025-05-08,WES26,602602,Turai Ki Sabzi,0.0,KG,LUNCH
247,2025-05-08,Xia13,600588,Choley Masala,20.88,KG,BREAKFAST
248,2025-05-08,Xia13,600769,Dal Panchmel,25.65,KG,LUNCH
249,2025-05-08,Xia13,601449,Makai Palak - Cost Food,14.4,KG,LUNCH
250,2025-05-08,Xia13,602706,Vegetable Kolhapuri,22.5,KG,LUNCH
251,2025-05-08,Xia13,612130,Meetha Pani,7.2,L,LUNCH
252,2025-05-08,BAN1,610800,Veg Cutlet_Ub_1Kg,4.0,KG,BQT LUNCH
253,2025-05-08,BAN1,610802,Veg Spring Rolls _Ub_1Kg,4.0,KG,BQT LUNCH
254,2025-05-08,BAN1,612369,Cheese Jalapeno Poppers_UB_Kg,4.0,KG,BQT LUNCH
255,2025-05-08,UBE12,603318,Moti Pak_Ub_25 Gram,671.25,EA,BREAKFAST
256,2025-05-08,UBE12,603318,Moti Pak_Ub_25 Gram,760.75,EA,LUNCH
257,2025-05-08,BAN1,601505,Mango Lassi_Bqt,12.0,L,BQT LUNCH
258,2025-05-08,Xia13,611551,Khatta Pani,15.3,L,LUNCH
259,2025-05-08,AMA6,601157,Jeera Pulao_Alishan Bm,164.58,KG,LUNCH
260,2025-05-08,AMA6,602363,Steamed Rice - Bullet Rice,147.7,KG,LUNCH
261,2025-05-08,AUT25,602363,Steamed Rice - Bullet Rice,3.0,KG,DINNER
262,2025-05-08,AUT25,612501,Dry Fruit Pulao_Basmathi,3.0,KG,DINNER
263,2025-05-08,BAN1,601126,Hyderabadi Veg Biryani - Basmathi Rice,8.0,KG,BQT LUNCH
264,2025-05-08,BAN1,601993,Peas Pulao_Alishan Bm,2.4,KG,BQT LUNCH
265,2025-05-08,BAN1,602363,Steamed Rice - Bullet Rice,4.0,KG,BQT LUNCH
266,2025-05-08,Boe2,601652,Mughlai Chicken Biryani_Alishan Bm,314.5,EA,LUNCH
267,2025-05-08,Boe2,601655,Mughlai Veg Biryani - Basmathi Rice,119.0,KG,LUNCH
268,2025-05-08,Boe2,602363,Steamed Rice - Bullet Rice,76.5,KG,LUNCH
269,2025-05-08,D.E7,601169,Kabuli Channa Pulao_Alishan Bm,19.32,KG,LUNCH
270,2025-05-08,D.E7,602351,Steamed Brown Rice,4.83,KG,LUNCH
271,2025-05-08,D.E7,602356,Steamed _Kollam Rice,15.64,KG,LUNCH
272,2025-05-08,FAI14,601203,Kala Moti Channa Pulao_Alishan Bm,49.8,KG,LUNCH
273,2025-05-08,FAI14,602294,Saunf Pulao - Sona Masoori Rice,6.0,KG,DINNER
274,2025-05-08,FAI14,602363,Steamed Rice - Bullet Rice,6.0,KG,DINNER
275,2025-05-08,FAI14,602363,Steamed Rice - Bullet Rice,49.8,KG,LUNCH
276,2025-05-08,Gle0,602363,Steamed Rice - Bullet Rice,16.4,KG,LUNCH
277,2025-05-08,Gle0,602403,Subzi Navaratan Pulao_Smr,23.6,KG,LUNCH
278,2025-05-08,Gre3,602356,Steamed _Kollam Rice,80.4,KG,DINNER
279,2025-05-08,Gre3,602356,Steamed _Kollam Rice,38.0,KG,LUNCH
280,2025-05-08,Gre3,602362,Steamed Red Rice,39.6,KG,DINNER
281,2025-05-08,Gre3,602362,Steamed Red Rice,17.0,KG,LUNCH
282,2025-05-08,Gre3,611983,Thalappakatti Veg Biryani,56.0,KG,LUNCH
283,2025-05-08,HP 15,600106,Ambur Chicken Biryani Rice -Cf-H_Jeera S,10.05,KG,LUNCH
284,2025-05-08,HP 15,601269,Kashmiri Pulao - Sona Masoori Rice,3.6,KG,DINNER
285,2025-05-08,HP 15,602082,Pudina Ka Pulao_Smr,10.05,KG,LUNCH
286,2025-05-08,HP 15,602364,Steamed Sona Masoori Rice,7.2,KG,DINNER
287,2025-05-08,HP 15,602364,Steamed Sona Masoori Rice,22.05,KG,LUNCH
288,2025-05-08,HP 16,600106,Ambur Chicken Biryani Rice -Cf-H_Jeera S,10.05,KG,LUNCH
289,2025-05-08,HP 16,601269,Kashmiri Pulao - Sona Masoori Rice,3.56,KG,DINNER
290,2025-05-08,HP 16,602082,Pudina Ka Pulao_Smr,10.05,KG,LUNCH
291,2025-05-08,HP 16,602364,Steamed Sona Masoori Rice,7.12,KG,DINNER
292,2025-05-08,HP 16,602364,Steamed Sona Masoori Rice,22.05,KG,LUNCH
293,2025-05-08,Ind4,602356,Steamed _Kollam Rice,3.0,KG,LUNCH
294,2025-05-08,McK8,602356,Steamed _Kollam Rice,4.0,KG,LUNCH
295,2025-05-08,Mot17,602364,Steamed Sona Masoori Rice,8.04,KG,LUNCH
296,2025-05-08,Mot17,611583,Palak Pulao,11.04,KG,LUNCH
297,2025-05-08,NUT18,602356,Steamed _Kollam Rice,0.0,KG,LUNCH
298,2025-05-08,Nik19,600640,Corn Pulao_Smr,22.0,KG,LUNCH
299,2025-05-08,Nik19,601654,Mughlai Veg Biryani_Smr,9.0,KG,LUNCH
300,2025-05-08,Nik19,602082,Pudina Ka Pulao_Smr,20.0,KG,LUNCH
301,2025-05-08,Nik19,602364,Steamed Sona Masoori Rice,20.0,KG,LUNCH
302,2025-05-08,PEG9,601993,Peas Pulao_Alishan Bm,16.2,KG,LUNCH
303,2025-05-08,PEG9,602362,Steamed Red Rice,4.5,KG,LUNCH
304,2025-05-08,PEG9,602363,Steamed Rice - Bullet Rice,15.3,KG,LUNCH
305,2025-05-08,Pho10,602356,Steamed _Kollam Rice,167.67,KG,LUNCH
306,2025-05-08,Pho10,612195,Corn Methi Pulao,218.7,KG,LUNCH
307,2025-05-08,Pos20,601544,Masala Pulao_Smr,4.0,KG,LUNCH
308,2025-05-08,Pos20,602364,Steamed Sona Masoori Rice,4.0,KG,LUNCH
309,2025-05-08,RUB21,602351,Steamed Brown Rice,8.17,KG,LUNCH
310,2025-05-08,RUB21,602356,Steamed _Kollam Rice,35.1,KG,DINNER
311,2025-05-08,RUB21,602356,Steamed _Kollam Rice,24.94,KG,LUNCH
312,2025-05-08,RUB21,602362,Steamed Red Rice,9.88,KG,DINNER
313,2025-05-08,RUB21,611669,Chettinad Vegetable Pulao,34.83,KG,LUNCH
314,2025-05-08,SBM22,600107,Ambur Chicken Biryani-Cf-H,45.0,KG,LUNCH
315,2025-05-08,SBM22,602364,Steamed Sona Masoori Rice,25.0,KG,LUNCH
316,2025-05-08,SBM22,611648,Ambur Veg Biryani,12.0,KG,LUNCH
317,2025-05-08,SYN23,600641,Corn Pulao_Bullet Rice,39.9,KG,LUNCH
318,2025-05-08,SYN23,602352,Steamed Bullet Rice,39.9,KG,LUNCH
319,2025-05-08,SYN23,611857,Wheat Pulao,24.85,KG,LUNCH
320,2025-05-08,Sam5,601589,Methi Pulao_Smr,52.7,KG,LUNCH
